Species,Tmin,Tmax,a1,a2,a3,a4,a5,a6,a7,Cp at 298.15K
C2H2,200.0,1000.0,154584.14448411876,-2144.861152647754,12.301596578240947,-0.007110552010062418,6.823069165145375e-06,-1.5473807141616955e-09,-3.405005239001034e-13,43.97684541881091
 ,1000.0,1200.0,-3.9060029793038837,-0.007031824213035661,32.18225664790786,-0.08924803701225345,0.00011842729321740715,-6.736172631636261e-08,1.4147551718430761e-11, 
C2H4,200.0,1000.0,-123148.44836319727,2647.6223764873434,-16.571574996724546,0.06749831055346957,-8.048675786678093e-05,5.24037994174337e-08,-1.4033951692425388e-11,42.992638592067976
 ,1000.0,5000.0,5293452.246638198,-18719.567214759827,28.828696929552585,-0.005101003329395705,1.205740111330791e-06,-1.5275353063628607e-10,8.0154782769524e-15, 
C2H6,200.0,1000.0,-255453.21613456184,4463.743631908047,-25.415538552557397,0.08948275266972174,-9.761332949355317e-05,5.98212931119329e-08,-1.546211188629294e-11,51.11134952823335
 ,1000.0,5000.0,5310090.792576187,-21575.622898298432,34.93896728883209,-0.004453422301094963,8.996824436972817e-07,-9.842972712918586e-11,4.515421093421221e-15, 
C2N2,200.0,1000.0,112894.25467167574,-1981.3459613151915,15.764773014200266,-0.018779898083988143,2.858990749786487e-05,-1.972981143227724e-08,5.205026038527367e-12,56.94881827730374
 ,1000.0,5000.0,889418.2507645715,-4294.138755022525,13.563513907496251,-0.0012285729430783442,2.8414287709561547e-07,-3.497962547040349e-11,1.7778754084210015e-15, 
C4H2,200.0,1000.0,239354.49866817656,-3800.996156125412,23.17652892728693,-0.020859150157550674,2.616299444195437e-05,-1.4630117360672537e-08,3.103059276347359e-12,73.69412150731016
 ,1000.0,5000.0,2598814.374903031,-9604.300360984776,21.79885040959604,-0.0016777447931260367,3.096005394622402e-07,-3.068988217900255e-11,1.2579310267318174e-15, 
CF4,200.0,1000.0,27810.250316204707,-71.41234272187408,-0.5301715663749061,0.03810799252823491,-4.8487158595323274e-05,3.060555425003716e-08,-7.763071133090355e-12,61.06367439283112
 ,1000.0,3010.0,-73511.35465739037,-2562.639468709933,15.582663852761465,-0.0014580986911151047,4.813088682119644e-07,-8.516525790309145e-11,6.292521590488696e-15, 
CH3Br,200.0,1000.0,-102643.00299896313,1831.5810090100988,-9.342348195208837,0.04428002091458025,-5.091705321295954e-05,3.233360822189879e-08,-8.504738294629444e-12,42.49932411513804
 ,1000.0,5000.0,2612076.5809198217,-10354.78064702848,18.905689590158428,-0.0019128788370232047,3.666767870722421e-07,-3.762498470296205e-11,1.6182197827381273e-15, 
CH3CN,200.0,1000.0,-154285.2262668335,2475.8418147488605,-11.406669407213581,0.050666040988382774,-5.3361158921179316e-05,3.1398052460839966e-08,-7.775224959466674e-12,52.337203604163214
 ,1000.0,5000.0,3015900.9766633376,-12634.938056946608,23.60582353797491,-0.0026183211764634075,5.301815149062792e-07,-5.808593220021527e-11,2.664704518364838e-15, 
CH3Cl,200.0,1000.0,-107014.09265685652,2109.241482549922,-11.553957601755508,0.049783487142473826,-5.8140146252260745e-05,3.7352189218249136e-08,-9.940991336064909e-12,40.76111722768207
 ,1000.0,5000.0,2630468.4825264025,-10600.454140362157,19.151992897894715,-0.0020349942261661557,3.9913187457190883e-07,-4.2070004513508767e-11,1.8636055485140645e-15, 
CH3F,200.0,1000.0,-208531.55314409107,3522.5920661691857,-18.09290733736598,0.06058645965083954,-6.632096162193585e-05,3.988777418766146e-08,-1.0041817878112946e-11,37.59788191674158
 ,1000.0,5000.0,2669080.7959469864,-11202.123759565418,19.718571779319827,-0.0022775736069309584,4.7302117236745644e-07,-4.866617850163532e-11,2.1827419359154775e-15, 
CH3I,200.0,1000.0,-70625.57128699192,1315.2831206653182,-6.394898647472143,0.03769326902487816,-4.322263353895484e-05,2.7692831628334557e-08,-7.365485646835024e-12,44.013338099839864
 ,1000.0,5000.0,2610127.095816498,-10207.39543176849,18.791762767091452,-0.0018654123571727958,3.557799462504667e-07,-3.634178501670893e-11,1.5559173467811153e-15, 
CH3OH,200.0,1000.0,-153476.90833130447,2929.4687144384307,-15.51835171221245,0.05937622536942743,-6.422570687483357e-05,3.8546826138209795e-08,-9.68340853046487e-12,45.889089799109456
 ,1000.0,3500.0,2836214.859202608,-11589.601198265238,20.566796637778285,-0.00033762873626254944,-2.842334181085593e-07,8.998895354302485e-11,-8.189414519254958e-15, 
CH4,200.0,1000.0,-189395.49276765765,2988.8046712035607,-13.322382384047462,0.043338710687310135,-4.3082580222237164e-05,2.5758326069152368e-08,-6.746889040844807e-12,35.688502386372065
 ,1000.0,2500.0,-41624817.29838443,182073.54490861128,-315.36119562942264,0.2921442054247621,-0.00013938561680523895,3.442763990038454e-08,-3.494775412533927e-12, 
CO,200.0,1000.0,15843.464927166156,-306.9550562850412,5.8135846819680586,-0.008449731038949896,1.5018999438001256e-05,-1.1253356563701116e-08,3.152782935586909e-12,29.13844554906623
 ,1000.0,6000.0,391717.05644935375,-1723.4433850734986,5.644174211996117,-0.00039806156104430813,8.460883343118145e-08,-8.646473230182701e-12,3.4614837533783186e-16, 
CO2,200.0,1000.0,32945.41956309491,-326.60809551380197,3.3868854197202536,0.00828087555625007,-9.134086815531285e-06,6.0543405102863716e-09,-1.7601706788885045e-12,37.126907751729455
 ,1000.0,2400.0,-675859.1664917698,2031.2455946240648,1.1527683084799598,0.006555990328841968,-3.2362839187202445e-06,7.857611882706415e-10,-7.845153247797728e-14, 
COCl2,200.0,1000.0,80934.91671875578,-1451.1561517355376,11.599269038894006,-0.0039240891329547925,7.0286017368854496e-06,-5.713496214595895e-09,1.7261226774028386e-12,57.861947653048716
 ,1000.0,5000.0,13891.624181694759,-1437.6242320929407,11.09512600071753,-0.00042261899994909134,1.0989885703902135e-07,-1.4103513829979592e-11,7.383407164886782e-16, 
COF2,200.0,1000.0,13272.555875463519,34.10380486393973,0.30642230929313535,0.024584907178805394,-2.9750987000110048e-05,1.8543973853663106e-08,-4.743928898657267e-12,47.46823054329631
 ,1000.0,3500.0,255888.96106260893,-2939.580710372815,12.650764752387943,-0.0013234980001719371,4.0695625328956144e-07,-6.610983282710165e-11,4.485311557643935e-15, 
CS,200.0,1000.0,-50403.94607287819,833.6475286357056,-1.6464104488965416,0.014143780165831253,-1.6319678101368867e-05,9.626143821362013e-09,-2.3112253760726733e-12,29.81202046814395
 ,1000.0,5000.0,-13103.053277304698,-489.563469370809,4.911843671590641,-0.00017594174658925858,4.92671884611633e-08,-6.807012795090632e-12,3.8199989448561695e-16, 
CS2,200.0,1000.0,-42694.102801664696,206.2270304926973,5.315207203773571,0.00026598335074035534,5.4375338296327555e-06,-6.410879624662546e-09,2.2532736575710067e-12,49.36163186823092
 ,1000.0,5000.0,306446.9435609097,-1842.1212972675316,9.274884702934928,-0.001001205294908246,3.3928157714915907e-07,-5.7243262116118e-11,3.4035296317357744e-15, 
ClO,200.0,600.0,-4536.306311573993,60.903204340730134,3.4018338207996544,0.002584666603760638,-2.0869486268017873e-06,-1.0354232305683487e-10,6.602391619352057e-13,34.44198098193863
ClONO2,200.0,1000.0,273710.15398326446,-8185.374174203841,61.26661262300535,-0.15418897062622525,0.00024591449535247385,-1.8973396941390253e-07,5.669652138286367e-11,68.17434089136152
 ,1000.0,5000.0,-61818.282846491566,-2037.708710492721,14.653244648522666,-0.0006957690960202712,1.8302333356728838e-07,-2.420723942000056e-11,1.3009484221065273e-15, 
GeH4,200.0,1000.0,-5086.61914964456,41.913081274871544,3.0335224450443445,0.004949942852446154,3.1718849042026797e-07,-2.5749331429567516e-09,9.923212071553113e-13,37.91596312047044
 ,1000.0,5000.0,676079.4169046128,-3827.6616291725613,10.78414395809749,-0.0011114301103249324,2.642841139386956e-07,-3.2874994425630423e-11,1.684716298840626e-15, 
H2,200.0,1000.0,27304.949568826632,-609.3480590283737,7.1542193522625785,-0.00980767392306706,1.3463265023449914e-05,-9.180339223514565e-09,2.555204973154343e-12,28.82578719476244
 ,1000.0,6000.0,-500154.9719800026,2370.482178770774,-0.44813816705639625,0.002779225492443396,-6.793050798564942e-07,8.666749385990922e-11,-4.563270603112703e-15, 
H2CO,200.0,1000.0,-36312.167661193314,1001.7944159768847,-3.4953915309945454,0.020680998112546194,-1.8164764536563054e-05,1.0321173134896494e-08,-2.8369568708357614e-12,35.40595116468223
 ,1000.0,3500.0,2490429.225311182,-10161.713395344084,18.002667068743428,-0.0038011660754383196,1.1112311156883466e-06,-1.8075330330566606e-10,1.2555269966791936e-14, 
H2O,200.0,1000.0,-19724.924707263097,307.507691812142,2.327946162257598,0.003624678190515805,-2.4644531370131815e-06,1.6250576102678885e-09,-4.376179051196677e-13,33.5775341173753
 ,1000.0,3000.0,-71341.12792734323,1706.386811351786,-1.7243866291244208,0.007565420328881887,-3.136656921770681e-06,6.870108982944924e-10,-6.316488430341588e-14, 
H2O2,200.0,1000.0,-35853.167557182576,696.787639412313,-1.1455080282437675,0.0212263099523561,-2.890846401578162e-05,2.1289187939740954e-08,-6.570100959824509e-12,42.06365181807054
 ,1000.0,6000.0,-4324471.428118364,1385.1466845381194,17.3466435222222,-0.01062365878639711,3.114939024250567e-06,-4.2186286482661656e-10,2.17789820401462e-14, 
H2S,200.0,1000.0,-5048.986053476069,73.80121947073633,3.550438866217934,0.0004722978490829579,3.3401974367583493e-06,-2.329259240122123e-09,4.271283739512632e-13,34.25825145273927
 ,1000.0,1900.0,1610491.7649215003,-6372.079672080201,12.611154195323532,-0.003679964899998339,1.759602793266326e-06,-4.2679850143364375e-10,2.7361317983608362e-14, 
HBr,200.0,1000.0,24631.420686342033,-396.75615220643397,5.988479579505918,-0.00756570692863496,1.1264141988893852e-05,-7.120722300374309e-09,1.6944567250497552e-12,29.141401090922216
 ,1000.0,6000.0,1090362.6177819222,-3590.2066835555756,7.362481106176935,-0.0012822805162581682,3.524810071478072e-07,-4.519255753437085e-11,2.025626150023078e-15, 
HC3N,200.0,1000.0,82840.91292749427,-1880.5989480799724,15.235125448520932,-0.011725424185095428,1.9940870839330245e-05,-1.4247442424626378e-08,3.879530363535096e-12,64.75943796712967
 ,1000.0,5000.0,1592837.5161800927,-6605.757594184952,17.339936789961065,-0.0012637626653093036,2.4633494225221935e-07,-2.6976576854808953e-11,1.1918447591085905e-15, 
HCN,200.0,1000.0,96193.81139840517,-1317.5534322283122,9.202879240881225,-0.008010912846057604,1.1268968003173984e-05,-6.67962094701837e-09,1.4706068433215375e-12,35.8647585917825
 ,1000.0,1100.0,-9.52277580499511,-0.3135373916223414,16.98554391617271,-0.04388843513161878,6.265901778674908e-05,-3.853196896931297e-08,8.832589129957484e-12, 
HCOOH,200.0,1000.0,-98248.47819349362,1769.437994706106,-9.40375324036004,0.04701620868710176,-5.3910259459501814e-05,3.302184373000824e-08,-8.3178176374389e-12,45.40122553500535
 ,1000.0,5000.0,1717897.6964449014,-7671.0568201460055,16.98425936229631,-0.001130794199321052,1.958350282811856e-07,-1.747516208386001e-11,6.262312572021521e-16, 
HCl,200.0,1000.0,17807.175342721614,-268.9676984258714,5.0540246873189965,-0.004222212239002116,5.3094692954650506e-06,-2.380724362789101e-09,2.9519319343703896e-13,29.137097697545776
 ,1000.0,6000.0,1070833.3858894275,-3308.620946185732,6.725953502481294,-0.0008978310654793066,2.46791259040944e-07,-3.307899398999276e-11,1.5857387218464112e-15, 
HF,200.0,1000.0,-4164.51897898111,74.28505910022633,2.971104632148205,0.0019307952419955875,-3.669647135219795e-06,3.3961835098340054e-09,-1.0702522704559527e-12,29.135768034366233
 ,1000.0,6000.0,1077402.0676851312,-2464.9914006970675,4.929708491065425,0.00012521863478017273,-4.2762258717038925e-08,7.554995615689803e-12,-5.680720075828159e-16, 
HI,200.0,1000.0,20131.69483796722,-363.58566547526794,6.073169744922926,-0.008878016997032138,1.5059031748390142e-05,-1.0886127465582793e-08,2.963742534482108e-12,29.15498562379616
 ,1000.0,2700.0,787238.1184281177,-3142.2586976172747,7.70902041259309,-0.002057776479836436,8.650432711244193e-07,-1.8906672586336993e-10,1.5712649139789307e-14, 
HNO3,200.0,1000.0,1790.4358196444518,338.04334312057955,-2.369454373592223,0.037068154405133356,-4.5884783193763176e-05,2.942724288898391e-08,-7.666838623971736e-12,53.84851581019454
 ,1000.0,3500.0,534702.7421314995,-3851.0407065416116,14.29068801611051,4.9337114408006213e-05,-1.4130418027100382e-07,3.6808812237696093e-11,-3.120448128219406e-15, 
HO2,200.0,1000.0,-79530.28967770332,1381.0525542344483,-4.976223562544609,0.025963477284186718,-3.147306551542307e-05,2.0121467879152217e-08,-5.22222096267537e-12,34.889419363768525
 ,1000.0,1400.0,47.17606424667781,-244.95459626294988,4.223271912475927,0.0025231928624733567,-8.967785650410522e-07,1.059654545880562e-10,5.036368626194648e-15, 
HOBr,200.0,1000.0,-13257.487097236697,275.46601225824423,1.0630878986261567,0.013896097247281558,-1.882361948241095e-05,1.3120874731172988e-08,-3.5970908261636024e-12,38.46902314575342
 ,1000.0,5000.0,788517.0365515817,-2526.1906443845883,7.576383911269007,0.00015481448910617087,-8.4711155607845e-08,1.5422842955893602e-11,-9.748865179063795e-16, 
HOCl,200.0,1000.0,-17153.477205682848,306.1380494540425,1.0775636033180318,0.012322049425754867,-1.500492567696247e-05,9.93736575944786e-09,-2.6737633040829696e-12,37.359925387690396
 ,1000.0,5000.0,844025.8559345964,-3217.1790046084016,8.76413811129164,-0.000535239853028489,1.0233468600814841e-07,-1.0426384457297704e-11,4.532152261170115e-16, 
N2,200.0,1000.0,23212.042759358475,-398.8938018876072,6.187619423940334,-0.008855581051011715,1.437723978335327e-05,-1.0060514971188235e-08,2.6597556766664e-12,29.123723132709248
 ,1000.0,1900.0,28.603232951886792,268.1021481139026,1.7466935043348177,0.0032412501031021924,-1.7409045634585437e-06,4.724348409303359e-10,-5.4619267494355575e-14, 
N2O,200.0,1000.0,60782.81477873893,-858.085458524301,7.018330180431686,-0.0019877589996198275,6.013228364983173e-06,-4.990339943753106e-09,1.3838434141980789e-12,38.615442920845176
 ,1000.0,1300.0,1.0849194949065506,-3712.3541542800926,20.248417529537345,-0.02443921525439813,2.3244209902426095e-05,-1.0368071686979473e-08,1.6668142490065303e-12, 
NF3,200.0,1000.0,60673.15433336856,-540.1694651182272,2.131510899661848,0.02825717759746038,-4.206481114509302e-05,2.994219572051762e-08,-8.35243687796329e-12,53.338285626214656
 ,1000.0,5000.0,-326901.37864451046,-534.1811492362178,10.432449873084671,-0.0001758187804239435,4.678485892589879e-08,-6.1329905841463526e-12,3.2391245154449457e-16, 
NH3,200.0,1000.0,-79354.24686266974,1311.6679565479144,-4.161635896290541,0.02233605980633233,-2.3264668449317003e-05,1.4272965771456072e-08,-3.676684887698135e-12,35.631158146675574
 ,1000.0,1400.0,0.12467607451888804,3.782039374942809,3.329177514888546,0.0033204790338368455,1.0155079644588652e-06,-1.131750714886492e-09,2.022024688452956e-13, 
NO,200.0,1000.0,-7343.734675362817,95.4911503089036,3.747170242071547,-0.0035256909102159882,9.73655872826649e-06,-8.655284205499436e-09,2.6864008139214356e-12,29.85557146681954
 ,1000.0,5000.0,250593.39930574363,-1364.2636869614266,5.520646730801042,-0.0004193612330384891,1.0046647499696725e-07,-1.2568460050678651e-11,6.467180613062834e-16, 
NO+,298.15,1000.0,6599.993075084794,-213.37174274547584,5.345632152905616,-0.006857622511791466,1.1766667770872883e-05,-8.313277058163685e-09,2.1878598381893103e-12,29.120301949617883
 ,1000.0,5000.0,564211.6550295685,-2163.1642830222486,5.971809688724967,-0.0005614349611202724,1.247981619383557e-07,-1.472325523980337e-11,7.179075391722988e-16, 
NO2,200.0,1000.0,-55216.83308276553,952.3482939805749,-2.440081154987861,0.019505811991221034,-1.930607651137743e-05,9.553021538559927e-09,-1.8856755532688937e-12,37.16953398948631
O2,200.0,400.0,22257.71387532204,-521.0769414653577,8.417829412889688,-0.023486577650948415,5.800878765928826e-05,-6.697773877066783e-08,2.943915723435417e-11,29.36564499341445
O3,200.0,1000.0,-14985.77225186503,624.4519847512203,-2.786791880147695,0.027889585430308606,-3.742783007160458e-05,2.497002964669437e-08,-6.6513537469685184e-12,39.3790676439981
OCS,200.0,1000.0,85959.00371382717,-1318.8524988530844,9.682325899225809,-0.006556564942928634,1.0268501346181821e-05,-7.326524568035753e-09,1.9823499147391495e-12,41.61415008616913
 ,1000.0,5000.0,230997.08408764304,-1858.0306476205658,8.867675926359396,-0.0005400039102853675,1.318701605955886e-07,-1.6499963967942783e-11,8.487901611682518e-16, 
OH,200.0,1000.0,-3458.083791194264,114.17076029568587,2.930920535240232,0.0018730159490296854,-3.688318855698478e-06,3.734453553074863e-09,-1.2715608124655146e-12,29.884261811135616
 ,1000.0,6000.0,843027.1204863128,-1989.2945391999428,4.519418530998175,0.00046232297639375386,-1.754627202340818e-07,3.16481487503225e-11,-2.0029017458911485e-15, 
PH3,200.0,1000.0,-8991.941837894181,443.2566310207185,-0.3736631184915812,0.014110650672225595,-9.529000553485109e-06,4.3539278280327256e-09,-1.1254171208805067e-12,37.23341179883915
 ,1000.0,1800.0,-1517583.4274564292,-735.5023462273346,16.56629501893412,-0.016975394801982655,1.583133687643434e-05,-6.057074168716433e-09,7.568947370383717e-13, 
SF6,200.0,1000.0,247905.32224877653,-3630.5633434695824,16.657006500277163,0.02581491431293336,-4.720679084884775e-05,3.704192549202877e-08,-1.0971462797225657e-11,96.97632493188985
 ,1000.0,5000.0,-500408.4318785647,-1268.2271456058868,20.150417927925083,-0.000550785954763365,1.4762973521771423e-07,-2.0350691428822053e-11,1.133928664512246e-15, 
SO,200.0,1000.0,-36748.27543266352,687.8286116515771,-1.272674191768525,0.01458646840231424,-1.8296838602335122e-05,1.162032695988192e-08,-2.9789705079431348e-12,30.16189884442802
SO2,200.0,1000.0,-48397.59678268398,832.6281045724043,-1.9199672517644804,0.020898949024956582,-2.355116793416268e-05,1.3344867763741781e-08,-3.049601284832759e-12,39.868142872840515
 ,1000.0,5000.0,-101692.76253432328,-864.6547606125484,7.691295959391589,-0.0002834670328245141,7.480029826762897e-08,-9.802641422637373e-12,5.245692579311166e-16, 
SO3,200.0,1000.0,-49725.31042299254,759.1072153709849,-2.120413363415447,0.02904265191991262,-3.2178758872316247e-05,1.7250958799558395e-08,-3.623537591365343e-12,50.660767734839894
